epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.0059,1.93534,2.74755,1.68996,0.26674,0.13568,0.12941,0.04242,2.17027,3.75942,2.0948,0.000657658,0.000657658,0.000657658
2,117.705,2.02835,2.40795,1.79574,0.44568,0.34673,0.30178,0.11202,2.28246,3.36784,2.1996,0.00119322,0.00119322,0.00119322
3,173.557,2.00372,2.27814,1.78329,0.27473,0.28141,0.21562,0.07444,2.3837,4.70407,2.5123,0.00159677,0.00159677,0.00159677
4,230.099,1.96508,2.02886,1.71545,0.62531,0.40201,0.41925,0.15533,2.27833,2.72584,2.06462,0.001406,0.001406,0.001406
5,279.343,1.88801,1.89057,1.69109,0.58796,0.46231,0.47494,0.17551,2.11438,2.27796,1.96659,0.001208,0.001208,0.001208
6,336.206,1.83657,1.71447,1.6414,0.49953,0.39196,0.37902,0.14726,2.10095,2.46166,1.98862,0.00101,0.00101,0.00101
7,403.609,1.8057,1.61957,1.62541,0.75277,0.55276,0.64077,0.26647,2.03796,1.96564,1.90997,0.000812,0.000812,0.000812
8,456.187,1.74715,1.48142,1.55607,0.70943,0.57664,0.65508,0.28217,2.00571,1.74027,1.74357,0.000614,0.000614,0.000614
9,539.68,1.66543,1.40318,1.50746,0.70015,0.61307,0.69743,0.30689,1.88527,1.63916,1.74368,0.000416,0.000416,0.000416
10,603.11,1.62517,1.31036,1.47291,0.71523,0.68153,0.73956,0.33403,1.84488,1.48592,1.68344,0.000218,0.000218,0.000218
